sales,prom,adv,index,q1,q2,q3,q4
504.72,15.6,30,100,1,0,0,0
406.59,22.2,36,102,0,1,0,0
398.55,0,45,104,0,0,1,0
587.76,0,57,104,0,0,0,1
598.92,0,39,104,1,0,0,0
703.62,31.8,21,100,0,1,0,0
387.24,21.3,12,98,0,0,1,0
365.67,3.9,6,96,0,0,0,1
388.71,0,6,98,1,0,0,0
372.96,8.4,30,103,0,1,0,0
603.3,45.3,30,105,0,0,1,0
614.73,50.1,33,107,0,0,0,1
484.38,39.6,6,107,1,0,0,0
227.76,4.2,33,107,0,1,0,0
329.13,0,6,108,0,0,1,0
308.25,0,3,105,0,0,0,1
433.86,0,45,103,1,0,0,0
514.98,13.8,48,108,0,1,0,0
404.7,17.7,0,110,0,0,1,0
245.43,0,15,112,0,0,0,1
433.2,17.4,9,113,1,0,0,0
627.24,37.8,54,112,0,1,0,0
647.61,42.3,36,113,0,0,1,0
342.81,11.4,39,114,0,0,0,1
